full_title,format_code,isbn13,year_published,bisac_status
Studies on Economic Life in Japan,EB,9780472880447,,Blank
Supplementary Grammar Notes to An Introduction to Modern Japanese: Part 1: Lessons 1-15,PB,9780939512294,1986,Active
Supplementary Grammar Notes to An Introduction to Modern Japanese: Part 2: Lessons 16-30,PB,9780939512324,1987,Active
Tanizaki in Western Languages: A Bibliography of Translations and Studies,HC,9780939512997,2000,Active
The Tokyo Trials: A Functional Index to the Proceedings of the International Military Tribunal for the Far East,HC,,1962,Dormant
The Tokyo Trials: A Functional Index to the Proceedings of the International Military Tribunal for the Far East,PB,,,Active
The Tokyo Trials: A Functional Index to the Proceedings of the International Military Tribunal for the Far East,EB,9780472880461,,Blank
Two Japanese Villages,HC,,1957,Dormant
Two Japanese Villages,EB,9780472880478,,Blank
Windows on the Japanese Past: Studies in Archaeology and Prehistory,PB,9780939512249,1986,Active
Political Leadership in Contemporary Japan,PB,9780939512065,1982,Active
"Parties, Candidates, and Voters in Japan: Six Quantitative Studies",PB,9780939512072,1981,Active
Japanese Automotive Industry: Model and Challenge for the Future?,PB,9780939512089,1981,Out of Print
Japanese Automotive Industry: Model and Challenge for the Future?,EB,9780472880041,,BLANK
"Survey of Japanese Collections in the United States, 1979–1980",PB,9780939512096,1979,Active
"Culture and Religion in Japanese-American Relations: Essays on Uchimura Kanzō, 1861–1930",PB,9780939512102,1982,Active
Sukeroku's Double Identity: The Dramatic Structure of Edo Kabuki,PB,9780939512119,1982,Out of Print
Industry at the Crossroads,PB,9780939512126,1982,Out of Print
Industry at the Crossroads,EB,9780472880133,,BLANK
Treelike: The Poetry of Kinoshita Yüji,PB,9780942668049,1982,Out of Print
The New Religions of Japan: A Bibliography of Western-Language Materials,PB,9780939512133,1983,Out of Print
The New Religions of Japan: A Bibliography of Western-Language Materials,EB,9780472880188,,BLANK
"Automobiles and the Future: Competition, Cooperation, and Change",PB,9780939512140,1983,Out of Print
"Automobiles and the Future: Competition, Cooperation, and Change",EB,9780472880119,,BLANK
Collective Decision Making in Rural Japan,PB,9780939512171,1984,Active
"""The Sting of Death"" and Other Stories",PB,9780939512188,1985,Out of Print
"""The Sting of Death"" and Other Stories",EB,9780472880003,,BLANK
The American Automobile Industry: Rebirth or Requiem?,PB,9780939512218,1984,Out of Print
The American Automobile Industry: Rebirth or Requiem?,EB,9780472880096,,BLANK
"Entrepreneurship in a ""Mature Industry""",PB,9780939512225,1986,Out of Print
"Entrepreneurship in a ""Mature Industry""",EB,9780472880126,,BLANK
The Japanese Competition: Phase 2,HC,9780939512317,1987,Out of Print
The Japanese Competition: Phase 2,PB,9780939512300,,Out of Print
The Japanese Competition: Phase 2,EB,9780472880157,,BLANK
Is There Enough Business to Go Around? Overcapacity in the Auto Industry,PB,9780939512355,1988,Out of Print
Is There Enough Business to Go Around? Overcapacity in the Auto Industry,EB,9780472880140,,BLANK
Protohistoric Yamato: Archaeology of the First Japanese State,PB,9780915703111,1988,Active
The Auto Industry Ahead: Who's Driving?,PB,9780939512362,1989,Out of Print
The Auto Industry Ahead: Who's Driving?,EB,9780472880102,,BLANK
Continuous Improvement: Quality Control Circles in Japanese Industry,PB,9780939512379,1989,Active
A History of Japan's Government-Business Relationship: The Passenger Car Industry,PB,9780939512409,1990,Active
The Transmission of Chinese Idealist Painting to Japan,PB,9780939512492,1992,Out of Print
Japanese Educational Productivity,PB,9780939512553,1992,Active
Literary Patronage in Late Medieval Japan,PB,9780939512607,1993,Active
A Student Guide to Japanese Sources in the Humanities,PB,9780939512645,1994,Active
The Tale of Saigyo,PB,9780939512836,1998,Active
"My Life: Living, Loving, and Fighting",PB,9781929280094,2001,Active
Ancient India in Its Wider World,HC,9780891480921,2006,Active
Beyond Curry: Quick and Easy Indian Cooking,PB,9780891480266,1999,Active
Masked Ritual and Performance in South India,HC,9780891480884,2006,Active
The Train that Had Wings: Selected Stories of M. Mukundan,HC,9780891480907,2005,Active
The Train that Had Wings: Selected Stories of M. Mukundan,PB,9780891480914,,Active
"Powerful Learning: Buddhist Literati and the Throne in Burma's Last Dynasty, 1752–1885",HC,9780891480938,2006,Active
The Ram Khamaeng Controversy: Collected Papers,PB,9780472530519,1999,Out of Print
Studies in the Literature of the Great Vehicle: Three Mahayana Buddhist Texts,HC,9780891480549,1999,Out of Print
The Compound Verb in Hindi,PB,,1974,
Critical Studies in Indian Grammarians I: The Theory of Homogeneity (Sāvarṇya),PB,9780891480525,1975,Active
Introduction to Old Javanese Language and Literature: A Kawi Prose Anthology,PB,,1976,
Reaction to World News Events and the Influence of Mass Media in an Indian Village,HC,,1971,Out of Print
Change and the Persistence of Tradition in India: Five Lectures,HC,,1971,Out of Print
Compadre Colonialism: Studies in the Philippines under American Rule,HC,,1971,Out of Print
Compadre Colonialism: Studies in the Philippines under American Rule,PB,089148003X,,
"Doctoral Dissertations on South Asia, 1966–1970: An Annotated Bibliography Covering North America, Europe, and Australia",HC,,1971,Out of Print
"Doctoral Dissertations on South Asia, 1966–1970: An Annotated Bibliography Covering North America, Europe, and Australia",PB,0891480048,,
The Labors of the Datoe and Other Essays on the Bataks of Asahan (North Sumatra),PB,9780891480051,1973,Out of Print
Evil in the Morning of the World: Phenomenological Approaches to a Balinese Community,PB,9780883864180,1974,Out of Print
Kinship and History in South Asia: Four Lectures,PB,9780883864173,1974,Out of Print
Studies in Malaysian Oral and Musical Traditions,PB,9780883864913,1974,Out of Print
Law and Kingship in Thailand During the Reign of King Chulalongkorn,PB,9780891480099,1975,Out of Print
Fertility and Family Life in an Indian Village,PB,9780891480105,1999,Active
Explorations in Early Southeast Asian History: The Origins of Southeast Asian Statecraft,PB,9780891480112,1999,Out of Print
The Socialization of Family Size Values: Youth and Family Planning in an Indian Village,PB,9780891480129,1999,Active
"Economic Exchange and Social Interaction in Southeast Asia: Perspectives from Prehistory, History, and Ethnography",PB,9780891480136,1999,Out of Stock Indefinitely
Aryan and Non-Aryan in India,HC,9780891480457,1999,Out of Print
Aryan and Non-Aryan in India,PB,9780891480143,,Out of Print
Austronesian Studies: Papers from the Second Eastern Conference on Austronesian Languages,PB,9780891480150,1980,Out of Print
"Hindi Structures: Intermediate Level, with Drills, Exercises, and Key",PB,9780891480167,1999,Active
A Kawi Lexicon,PB,9780891480174,1999,Out of Print
"Tankas from the Koelz Collection, Museum of Anthropology, University of Michigan",PB,9780891480181,1980,Out of Print
The Padaeng Chronicle and the Jengtung State Chronicle Translated,HC,9780891480204,1981,Out of Print
The Padaeng Chronicle and the Jengtung State Chronicle Translated,PB,9780891480211,,Out of Print
The Lives of the Buddha in the Art and Literature of Asia,PB,9780891480235,1999,Active
Organization for Change: A Systems Analysis of Family Planning in Rural India,HC,9780891480198,1999,Out of Stock Indefinitely
The Philippine Economy and the United States: Studies in Past and Present Interactions,HC,9780891480242,1983,Out of Print
The Philippine Economy and the United States: Studies in Past and Present Interactions,PB,9780891480259,,Out of Print
"Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 1",HC,9780891480273,1999,Out of Print
"Philippine Society and the Individual: Selected Essays of Frank Lynch, 1949–1976",PB,9780891480297,1999,Active
Papers from a Conference on Thai Studies in Honor of William J. Gedney,HC,9780891480303,1999,Out of Stock Indefinitely
Legitimacy and Symbols: The South Asian Writings of F. W. Buckler,HC,9780891480327,1999,Active
Legitimacy and Symbols: The South Asian Writings of F. W. Buckler,PB,9780891480334,,Out of Stock Indefinitely
Cultural Values and Human Ecology in Southeast Asia,HC,9780891480396,,NYP Unscheduled - No B/O
Cultural Values and Human Ecology in Southeast Asia,PB,9780891480402,1981,Temporarily out of Stock
"Men to Bombay, Women at Home: Urban Influence on Sugao Village, Deccan Maharashtra, India, 1942–1982",HC,9780891480358,1999,Active
"Men to Bombay, Women at Home: Urban Influence on Sugao Village, Deccan Maharashtra, India, 1942–1982",PB,9780891480365,,Active
Selected Papers on Comparative Tai Studies,HC,9780891480372,1999,Out of Stock Indefinitely
Selected Papers on Comparative Tai Studies,PB,9780891480389,,Out of Stock Indefinitely
"Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 2",HC,9780891480341,1999,Out of Print
"Karawitan: Source Readings in Javanese Gamelan and Vocal Music, Volume 3",HC,9780891480419,1999,Out of Print
Ethnic Diversity and the Control of Natural Resources in Southeast Asia,HC,9780891480433,1999,Active
Ethnic Diversity and the Control of Natural Resources in Southeast Asia,PB,9780891480440,,Active
Writing on the Tongue,HC,9780891480471,1999,Active
Writing on the Tongue,PB,9780891480488,,NYP Unscheduled - No B/O
"The Burmese Polity, 1752–1819: Politics, Administration, and Social Organization in the Early Kon-baung Period",HC,9780891480563,1999,Out of Print
"The Burmese Polity, 1752–1819: Politics, Administration, and Social Organization in the Early Kon-baung Period",PB,9780891480570,,Out of Print
Boundaries of the Text: Epic Performances in South and Southeast Asia,HC,9780891480624,1999,Out of Print
Boundaries of the Text: Epic Performances in South and Southeast Asia,PB,9780891480631,,NYP Unscheduled - No B/O
Exemplar of Americanism: The Philippine Career of Dean C. Worcester,HC,9780891480594,1999,Out of Stock Indefinitely
Exemplar of Americanism: The Philippine Career of Dean C. Worcester,PB,9780891480600,,Out of Stock Indefinitely
Paninian Studies: Professor S. D. Joshi Felicitation Volume,HC,9780891480648,1999,Active
Paninian Studies: Professor S. D. Joshi Felicitation Volume,PB,9780891480655,,Out of Stock Indefinitely
"The Yay Language: Glossary, Texts, and Translations",HC,9780891480662,1999,Active
"The Tai Dialect of Lungming: Glossary, Texts, and Translations",HC,9780891480679,1999,Active
"Independence and Democracy in Burma, 1945–1952: The Turbulent Years",HC,9780891480686,1999,Active
"Independence and Democracy in Burma, 1945–1952: The Turbulent Years",PB,9780891480693,,Active
"The Saek Language: Glossary, Texts, and Translations",HC,9780891480730,1999,Temporarily out of Stock
"Southwestern Tai Dialects: Glossaries, Texts, and Translations",HC,9780891480747,1999,Active
"Central Tai Dialects: Glossaries, Texts, and Translations",HC,9780891480754,1999,Active
"The Lue Language: Glossaries, Texts and Translations",HC,9780891480761,1999,Active
"Tai Dialect Studies: Glossaries, Texts, and Translations",HC,9780891480778,1999,Active
Thai and Indic Literary Studies,HC,9780891480808,1999,Active
Samskrta-Subodhini: A Sanskrit Primer,HC,9780891480785,1999,Out of Stock Indefinitely
Samskrta-Subodhini: A Sanskrit Primer,PB,9780891480792,,Active
The Journey: Stories by K. C. Das,PB,9780891480815,2000,Active
Conversational Tamil,PB,9780891480822,2001,Active
Puppet Theater in Contemporary Indonesia: New Approaches to Performance Events,HC,9780891480839,2002,Active
Puppet Theater in Contemporary Indonesia: New Approaches to Performance Events,PB,9780891480846,,Active
"The Mertiyo Rathors of Merto, Rajasthan: Select Translations Bearing on the History of a Rajput Family, 1462–1660, Volumes 1–2",HC,9780891480853,2001,Active
The Pāḍæng Chronicle and the Jengtung State Chronicle Translated,PB,9780891480877,2002,Active
"Changing Lives, Changing Rites: Ritual and Social Dynamics in Philippine and Indonesian Uplands",PB,9780891480587,1999,Active
"After Duwagan: Deforestation, Succession, and Adaptation in Upland Luzon, Philippines",PB,9780891480617,1999,Active
